Name,Party,Year,State,District,Incumbent,Winner,Raised,Spent,Cash on Hand,Individual Contributions,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
Luis V Gutierrez,D,2016,IL,04,True,True,523671,559073,156162,,7083,167268,332818,0,16502,107911,1000,0
Mike Quigley,D,2016,IL,05,True,True,1010343,826247,692556,,21160,423315,567875,0,-2007,417440,3700,300
Warren Grimsley,3,2016,IL,05,False,False,4599,5893,0,,316,1500,0,1241,3358,1500,0,0
Peter Roskam,R,2016,IL,06,True,True,2988266,3331980,113732,,167920,1224742,1572997,0,22607,1229342,2700,20033
Amanda Howland,D,2016,IL,06,False,False,93943,98179,-3800,,18162,64532,12750,0,-1500,64020,0,250
Danny K Davis,D,2016,IL,07,True,True,552638,503244,310946,,17795,39793,495020,0,31,32292,1750,7400
Raja Krishnamoorthi,D,2016,IL,08,False,True,3562107,2636225,925883,,216144,2759271,583012,13456,-9775,2519424,53022,17252
Peter Dicianni,R,2016,IL,08,False,False,273875,273875,0,,30876,243337,39660,0,-39999,225036,0,24950
William Fraser,I,2016,IL,08,False,False,2830,2879,-49,,371,500,0,1443,516,500,0,0
Jan Schakowsky,D,2016,IL,09,True,True,1365195,1296088,349637,,201645,781942,379100,0,2508,728579,1500,2850
Joan McCarthy Lasonde,R,2016,IL,09,False,False,198330,198330,0,,22916,169033,4950,5406,-3975,140845,0,24187
Bob Dold,R,2016,IL,10,True,False,5410425,5572465,29617,,138950,2891334,2284266,0,95874,2923759,1750,260729
Brad Schneider,D,2016,IL,10,False,True,5071608,4931419,142657,,1234820,3006052,801369,110400,-81033,1142596,1381,3000
Bill Foster,D,2016,IL,11,True,True,2886538,1666528,2287780,,273121,1937526,761100,0,-85209,1112360,1250,1300
Tonia Khouri,R,2016,IL,11,False,False,746901,744893,2007,,34072,356910,143250,215250,-2582,172780,0,185030
Mike Bost,R,2016,IL,12,True,True,2313250,2333135,7409,,131343,1076830,1080524,0,24553,891746,3850,186669
Charles John Baricevic,D,2016,IL,12,False,False,1000336,987674,12661,,88526,721299,187591,5010,-2091,703451,500,500
Rodney Davis,R,2016,IL,13,True,True,2626499,2356036,396800,,115910,641758,1828745,0,40086,638900,3600,3175
Mark Wicklund,D,2016,IL,13,False,False,26683,23337,4441,,6215,2773,275,17420,0,2773,0,0
David Gill,I,2016,IL,13,False,False,25021,25089,246,,6226,17190,0,1055,550,14585,0,2600
Randy Hultgren,R,2016,IL,14,True,True,1179173,1297836,162199,,33084,273331,868383,0,4376,251880,250,18200
Jim Walz,D,2016,IL,14,False,False,19939,19745,194,,9064,10605,2250,1000,-2980,6675,0,0
John Shimkus,R,2016,IL,15,True,True,3199189,3389735,836290,,93523,612046,2493560,0,60,580451,700,7605
Adam Kinzinger,R,2016,IL,16,True,True,1820746,1009566,1477819,,69007,559098,1165611,0,27030,511629,3200,74500
Cheri Bustos,D,2016,IL,17,True,True,3504463,2103465,1536106,,686232,1432479,1386430,0,-678,863887,14071,12750
Darin LaHood,R,2016,IL,18,True,True,2529337,2207879,321459,,164806,1253691,1074226,0,36614,1197501,750,111945
Junius Rodriguez,D,2016,IL,18,False,False,58570,59963,0,,13512,13827,5570,26061,-400,6902,0,0
Todd Young,R,2016,IN,S2,False,True,10205343,10901664,65392,,509028,6058780,2231143,0,690953,14656410,102009,1242860
Evan Bayh,D,2016,IN,S2,False,False,4799782,14117713,889086,,471996,2510062,613488,0,1204233,2019360,2000,25459
Lucy Brenton,L,2016,IN,S2,False,False,1098,1275,0,,598,500,0,0,0,500,0,0
Pete Visclosky,D,2016,IN,01,True,True,1009761,949565,321165,,152,361859,645326,0,2424,333944,200,1475
Jackie Walorski,R,2016,IN,02,True,True,1890177,2072671,55985,,93231,906771,880805,0,9370,1014972,8100,72371
Lynn Coleman,D,2016,IN,02,False,False,655607,641589,14018,,193519,308446,145232,3684,4727,287532,1550,1120
Jim Banks,R,2016,IN,03,False,True,1741953,1597693,144260,,529652,862725,361985,1125,-13535,596643,4449,24701
Todd Rokita,R,2016,IN,04,True,True,1429602,1167059,1315565,,26791,876632,527222,0,-1042,836557,1000,0
Steven Mayoras,L,2016,IN,04,False,False,1907,1907,0,,356,1000,0,551,0,1000,0,0
Susan Brooks,R,2016,IN,05,True,True,1725754,1224525,1347890,,40572,692461,891946,0,100775,820885,600,500
Angela Demaree,D,2016,IN,05,False,False,147943,147475,468,,40520,65300,33610,1564,6950,55623,0,0
Matthew Wittlief,L,2016,IN,05,False,False,7471,7471,0,,3922,2100,0,750,700,2099,0,0
Luke Messer,R,2016,IN,06,True,True,1939107,1350188,1050399,,51702,769679,1113729,0,3996,856426,1500,30950
Andre Carson,D,2016,IN,07,True,True,1116364,978226,823347,,42175,435832,593379,0,44977,450309,7250,6775
Catherine Ping,R,2016,IN,07,False,False,6030,5102,1837,,1330,3450,0,0,1250,2800,0,0
Larry Bucshon,R,2016,IN,08,True,True,978513,970920,312861,,20818,265464,648925,0,43306,319093,0,4100
Andrew Thompson,L,2016,IN,08,False,False,16297,18213,2546,,1985,8736,0,5551,25,3600,0,5136
Ron Drake,D,2016,IN,08,False,False,9770,8744,1301,,700,2070,1500,5000,1300,750,0,0
Trey Hollingsworth,R,2016,IN,09,False,True,3556124,3555819,305,,10031,118443,285500,3142150,0,112242,0,800
Shelli Yoder,D,2016,IN,09,False,False,1436062,1416025,20037,,238200,827254,359172,1491,9945,531776,2050,5500
Chuck Grassley,R,2016,IA,S1,True,True,9828566,10688656,1006156,,1222982,4632792,3145207,0,827582,5103360,38525,740153
Patty Judge,D,2016,IA,S1,False,False,2242556,2177556,64999,,616721,1179308,243287,1697,201541,1135855,22970,2400
Michael Luick-Thrams,3,2016,IA,S1,False,False,3101,3100,0,,80,1616,0,2500,-1095,250,0,250
Rod Blum,R,2016,IA,01,True,True,1897637,1894628,47567,,316799,888319,679422,236,12862,957117,2713,9938
Monica Vernon,D,2016,IA,01,False,False,2864419,2857575,6844,,318011,1745973,620594,175050,4791,637174,2000,500
David Loebsack,D,2016,IA,02,True,True,1608466,681228,960707,,141762,522936,935017,0,8750,278746,0,1730
Christopher Peters,R,2016,IA,02,False,False,216593,208818,7774,,25604,60173,8605,122211,0,57731,600,1820
David Young,R,2016,IA,03,True,True,2492691,2438370,84085,,118932,793864,1414706,0,165188,773560,1100,165096
Jim Mowrer,D,2016,IA,03,False,False,1937783,1942890,2722,,261943,1347018,334618,0,-5796,786154,8550,7375
Steven A. King,R,2016,IA,04,True,True,944683,954150,126603,,228993,413108,290485,0,12097,366450,45707,788
Kim Weaver,D,2016,IA,04,False,False,159626,148531,12975,,80099,55049,19500,0,4977,28457,0,100
Jerry Moran,R,2016,KS,S2,True,True,6617848,5597324,1192108,,189718,3015967,3271193,0,140968,2680824,24175,1000
Patrick Wiesner,D,2016,KS,S2,False,False,36252,38286,613,,969,5892,0,29390,1,4604,0,0
Roger Marshall,R,2016,KS,01,False,True,1506821,1488461,18360,,64937,644587,506900,295548,-5150,543535,0,0
Alan LaPolice,I,2016,KS,01,False,False,132443,137094,-975,,7574,97000,0,27869,0,88475,5400,0
Lynn Jenkins,R,2016,KS,02,True,True,2193765,1523723,978761,,37794,767501,1371972,0,16498,750624,1000,250
Kevin Yoder,R,2016,KS,03,True,True,3223942,4049363,435353,,26718,1469052,1698322,0,29850,1433324,14595,16950
Jay Sidie,D,2016,KS,03,False,False,573234,563363,9871,,192844,239648,92250,50000,-1507,59145,0,1500
Mike Pompeo,R,2016,KS,04,True,True,1451695,1447958,1104235,,1408,542358,906798,0,1133,529384,4700,1384
Dan Giroux,D,2016,KS,04,False,False,262986,262986,0,,39928,187570,30350,5938,-800,176220,5400,5150
Miranda Allen,I,2016,KS,04,False,False,98759,80972,18863,,3889,41577,0,53281,12,39600,0,0
Rand Paul,R,2016,KY,S2,True,True,11053205,11001142,228925,,4351819,3362801,1097645,0,2240932,10930453,260697,1209794
Jim Gray,D,2016,KY,S2,False,False,6332188,6340701,-8688,,777796,2646504,134000,2800073,-26187,1063439,0,11481
James Comer,R,2016,KY,01,False,True,1053372,968809,84563,,29895,685731,328601,8895,250,648629,3000,12150
Samuel Lewis Gaskins,D,2016,KY,01,False,False,14625,17416,-3603,,2858,9250,650,917,950,2550,600,600
Brett Guthrie,R,2016,KY,02,True,True,1719574,1308028,1779095,,26941,227639,1460828,0,4166,221089,0,4100
John Yarmuth,D,2016,KY,03,True,True,690576,768149,412694,,45861,206849,435977,0,1889,198848,2950,3300
Harold Bratcher,R,2016,KY,03,False,False,7525,4680,2944,,975,6550,0,0,0,5350,1200,0
Thomas Massie,R,2016,KY,04,True,True,463955,421632,244598,,44470,262312,110388,0,46785,339672,300,5200
Hal Rogers,R,2016,KY,05,True,True,1314305,1342390,1100886,,11454,364700,947299,0,-9149,330799,1000,20151
John Burk Jr,R,2016,KY,05,False,False,1150,1150,0,,150,0,0,1000,0,0,0,0
Andy Barr,R,2016,KY,06,True,True,2519652,2531839,476579,,87529,1300920,1137174,0,-5971,1380846,2000,44360
Nancy Jo Kemper,D,2016,KY,06,False,False,454189,450356,3833,,124531,289602,39408,352,296,169051,0,6750
John Kennedy,R,2016,LA,S2,False,True,6147577,4927233,1220342,,140164,4937519,1016358,0,53535,8085095,23900,18600
Foster Campbell,D,2016,LA,S2,False,False,5795722,5775991,19732,,3000840,2350004,207717,300000,-62840,1086506,4800,43000
Charles W Boustany Jr.,R,2016,LA,S2,False,False,5520729,5871551,15696,,79571,3485759,1990604,200000,-235206,3592281,19729,73463
John Fleming,R,2016,LA,S2,False,False,4516668,4512533,4135,,386867,1569525,83400,1121000,1355874,2213913,36800,19736
Caroline Fayard,D,2016,LA,S2,False,False,1791230,2039072,2954,,47228,569493,8000,695000,471508,516590,13800,31840
Rob Maness,R,2016,LA,S2,False,False,659282,674809,5624,,202720,479950,37114,3437,-63941,429529,950,55685
Abhay Patel,R,2016,LA,S2,False,False,376699,376685,12,,11856,228435,5250,153300,-22142,332237,19200,71906
David Duke,R,2016,LA,S2,False,False,193466,144103,49362,,97654,75338,0,23038,-2564,500,0,74163
Josh Pellerin,D,2016,LA,S2,False,False,155327,155327,0,,13144,61950,0,80233,0,42550,0,1000
Derrick Edwards,3,2016,LA,S2,False,False,41702,37897,64,,698,9425,0,31579,0,9925,0,5400
Beryl Billiot,I,2016,LA,S2,False,False,18372,18372,0,,3076,3650,0,11646,0,3650,0,0
Charles Marsala,R,2016,LA,S2,False,False,17155,16170,983,,0,4515,0,10640,2000,4085,250,0
Donald Crawford,R,2016,LA,S2,False,False,15225,13412,1810,,425,500,0,14300,0,500,0,0
Steve Scalise,R,2016,LA,01,True,True,3565928,3635483,413239,,9338,468515,489850,0,2598225,1707086,14583,19660
Danil Faust,D,2016,LA,01,False,False,7709,5066,5276,,10,0,0,4999,2700,0,0,0
Cedric Richmond,D,2016,LA,02,True,True,1399143,1170048,361089,,6276,394187,1001988,0,-3309,309150,5400,11750
Kip Holden,D,2016,LA,02,False,False,53750,44855,8895,,0,53250,0,500,0,53250,0,0
Scott Angelle,R,2016,LA,03,False,False,1780889,1765364,15525,,19056,1454441,296800,33000,-22408,1393593,2592,47400
Gus Rantz,R,2016,LA,03,False,False,706670,706670,0,,5928,350602,11700,344335,-5895,348397,250,12650
Greg Ellison,R,2016,LA,03,False,False,508609,508315,294,,23197,475411,16254,5045,-11299,463809,3450,250
Clay Higgins,R,2016,LA,03,False,True,403655,378847,24808,,110104,235401,58150,0,0,210445,4700,19006
Erick Knezek,R,2016,LA,03,False,False,179515,167655,11860,,3619,126346,500,60000,-10950,111196,500,14650
Brett Geymann,R,2016,LA,03,False,False,139365,139365,0,,12330,124515,3450,570,-1500,120015,0,0
Grover Rees,R,2016,LA,03,False,False,90437,86726,3711,,7035,54590,8587,19225,1000,54590,0,0
Larry Rader,D,2016,LA,03,False,False,16261,14658,1603,,2235,9125,0,4901,0,8400,0,0
Mike Johnson,R,2016,LA,04,False,True,1133112,937018,196094,,100429,885047,152000,1063,-5427,754146,3500,30200
Elbert Guillory,R,2016,LA,04,False,False,1101369,996564,104805,,804925,282519,8700,9875,-4650,269841,4050,11576
Trey Baucum,R,2016,LA,04,False,False,779534,778676,858,,9591,596023,24500,155000,-5579,568521,24950,3000
Oliver Jenkins,R,2016,LA,04,False,False,752995,746102,6893,,12736,447458,3051,290000,-250,421307,3500,17200
J Marshall Jones Jr.,D,2016,LA,04,False,False,451167,444427,6740,,10900,89067,10000,341200,0,68101,4500,0
Rick John,R,2016,LA,04,False,False,179500,178696,803,,4431,106856,0,67633,580,106856,0,0
Ralph Abraham,R,2016,LA,05,True,True,577493,408613,208161,,14375,267025,306996,0,-10903,255310,1000,8000
Garret Graves,R,2016,LA,06,True,True,1925196,1577216,842717,,17085,1049393,881968,0,-23250,1036510,16200,49538
Chellie Pingree,D,2016,ME,01,True,True,609680,291845,533294,,111609,289230,170950,40987,-3096,79312,0,100
Mark Holbrook,R,2016,ME,01,False,False,103228,101156,2071,,11479,65468,5575,20706,0,64200,0,350
Bruce Poliquin,R,2016,ME,02,True,True,3385351,3369694,24331,,34758,1556819,1742729,0,51046,1538212,24150,5750
Emily Cain,D,2016,ME,02,False,False,3475319,3460262,21528,,541795,2178595,758221,0,-3292,625581,4350,32295
Chris Van Hollen,D,2016,MD,S2,False,True,11875663,11394123,443302,,820926,7763844,1430204,0,1860686,14705778,26600,114848
Kathy Szeliga,R,2016,MD,S2,False,False,1556466,1517211,39255,,371132,1037272,169624,0,-21563,577978,600,495978
Margaret Flowers,3,2016,MD,S2,False,False,89863,91715,-853,,38035,49475,500,100,1750,67595,250,4472
Andy Harris,R,2016,MD,01,True,True,1290564,816313,771850,,156655,651043,483658,0,-792,570132,0,85460
Dutch Ruppersberger,D,2016,MD,02,True,True,1135835,1141647,1077084,,32087,480262,625075,0,-1588,415921,2500,12120
Pat McDonough,R,2016,MD,02,False,False,241579,225614,15965,,136166,101078,4335,0,0,98920,520,1675
John Sarbanes,D,2016,MD,03,True,True,946821,759245,935514,,0,948321,0,0,-1500,909814,5800,7585
Mark Plaster,R,2016,MD,03,False,False,602949,564655,38294,,53760,262837,33308,247544,5500,253310,5600,500
Anthony Brown,D,2016,MD,04,False,True,1365089,1193696,171393,,61189,741132,432854,137750,-7836,669070,5950,14852
Steny H Hoyer,D,2016,MD,05,True,True,3721894,3832251,692679,,32689,940012,2481618,0,267576,1034057,1500,0
Mark Arness,R,2016,MD,05,False,False,52554,52554,0,,6270,3506,512,35266,7000,3006,0,500
John K Delaney,D,2016,MD,06,True,True,1951728,1954190,22043,,11146,907981,680850,354125,-2374,881331,4950,25200
Amie Hoeber,R,2016,MD,06,False,False,1172926,1172570,357,,49303,242646,92050,787000,1928,239714,500,3750
Elijah E Cummings,D,2016,MD,07,True,True,1056238,991942,954953,,20447,427503,619500,0,-11212,402621,1550,22750
Jamie Raskin,D,2016,MD,08,False,True,2544562,2192770,351792,,438921,1812745,297898,2700,-7703,1379822,7350,3550
Dan Cox,R,2016,MD,08,False,False,74604,60736,13869,,16197,35517,4750,18140,0,27092,2500,4925
Nancy Wallace,3,2016,MD,08,False,False,14933,11111,3822,,2171,8213,300,2749,1501,7706,0,0
Richard E Neal,D,2016,MA,01,True,True,1791836,1408621,3017823,,48075,384582,1327151,0,32028,251831,0,0
Thomas T Simmons,L,2016,MA,01,False,False,17850,17850,0,,200,7570,0,5000,5080,7250,0,0
James P McGovern,D,2016,MA,02,True,True,928775,874121,428301,,151206,305936,470964,0,670,247796,1250,1750
Niki Tsongas,D,2016,MA,03,True,True,1200582,1134045,467875,,117531,663940,388675,0,30437,393140,1000,3000
Ann Wofford,R,2016,MA,03,False,False,41027,42010,73,,6257,15604,4965,14200,0,14244,0,0
Joe Kennedy III,D,2016,MA,04,True,True,3131066,1779496,2751578,,64224,1953374,918434,0,195034,1779935,7350,38200
David Rosa,R,2016,MA,04,False,False,14459,14458,1,,540,3100,500,14418,-4099,2500,0,600
Katherine Clark,D,2016,MA,05,True,True,1313286,664733,952215,,56284,649620,544522,0,62861,593457,6850,10500
Seth Moulton,D,2016,MA,06,True,True,2595540,1598103,1034736,,144762,1746483,705090,0,-795,1190563,19350,15650
Michael E Capuano,D,2016,MA,07,True,True,753709,689637,763962,,24546,204475,522850,0,1838,195725,0,8750
Stephen F Lynch,D,2016,MA,08,True,True,1210584,522959,1094211,,66396,781719,362520,0,-51,759486,6600,7750
Bill Burke,R,2016,MA,08,False,False,47391,48129,-4787,,650,2241,0,44500,0,500,1741,0
Bill Keating,D,2016,MA,09,True,True,1199693,443333,802897,,84769,520929,593178,0,817,355102,2500,375
Mark C Alliegro,R,2016,MA,09,False,False,262025,261780,-303,,70871,135670,5850,47137,2497,129543,0,4325
Paul J. Harrington,I,2016,MA,09,False,False,63438,55330,8108,,2040,15050,0,46348,0,15050,0,0
Chris Cataldo,3,2016,MA,09,False,False,8407,8407,0,,2182,3557,0,2768,-100,3554,0,0
Lon Johnson,D,2016,MI,01,False,False,2043201,2038625,4576,,267390,1241527,530315,5400,-1430,387246,5000,1400
John Bergman,R,2016,MI,01,False,True,1361864,1346930,14934,,79410,511043,379872,368196,23343,474746,22070,101078
Diane Evelyn Bostow,L,2016,MI,01,False,False,6574,6189,785,,1209,2710,0,2655,0,2710,0,0
Bill Huizenga,R,2016,MI,02,True,True,1193988,1301288,208311,,36338,394619,761906,0,1125,385469,1200,7850
Dennis B Murphy,D,2016,MI,02,False,False,15646,15114,1190,,4141,2000,1000,5,8500,2000,0,0
Justin Amash,R,2016,MI,03,True,True,674288,785478,217637,,83368,553720,36200,0,1000,541070,7750,3150
Douglas Smith,D,2016,MI,03,False,False,30185,26311,3874,,4105,3080,23000,0,0,1540,0,0
John Moolenaar,R,2016,MI,04,True,True,1050896,1041322,37624,,28755,472043,530705,0,19393,446773,2750,0
Dan Kildee,D,2016,MI,05,True,True,1087656,691065,514045,,0,455194,635513,0,-3050,214866,3225,313
Fred Upton,R,2016,MI,06,True,True,2935518,2497208,493232,,71414,769289,1978904,0,115911,796805,17750,0
Paul Clements,D,2016,MI,06,False,False,1151980,1144074,8262,,524324,594669,31048,7825,-5885,262246,100,5033
Tim Walberg,R,2016,MI,07,True,True,2403861,2572105,151211,,120074,985458,1135614,0,162714,1370813,1150,2500
Gretchen Driskell,D,2016,MI,07,False,False,2554488,2497019,55964,,368805,1500781,533228,100000,51674,575307,4585,4250
Mike Bishop,R,2016,MI,08,True,True,1639970,1588376,92183,,61566,643746,909834,0,24824,559992,16600,29377
Melissa Gilbert,D,2016,MI,08,False,False,714281,701899,12383,,193102,512610,97350,0,-88781,181894,0,11465
Sander Levin,D,2016,MI,09,True,True,1293278,1266215,226728,,42018,210795,1038880,0,1585,187220,0,2775
Paul Mitchell,R,2016,MI,10,False,True,3979358,3967949,11409,,18,162015,208450,3607287,1587,150331,6400,696
Frank Accavitti Jr.,D,2016,MI,10,False,False,48426,48426,0,,8976,6100,33350,0,0,4200,0,0
Dave Trott,R,2016,MI,11,True,True,1313731,1337399,26779,,8085,827346,392721,97969,-12390,819375,13805,1600
Anil Kumar,D,2016,MI,11,False,False,1116535,1109010,16623,,50335,331861,37350,750000,-53011,256856,15352,0
Kerry Bentivolio,I,2016,MI,11,False,False,46201,52123,1783,,65,41036,3600,1500,0,16200,20400,4436
Debbie Dingell,D,2016,MI,12,True,True,1173477,1052959,448489,,67229,521048,587678,0,-2478,425336,2250,1000
Jeff Jones,R,2016,MI,12,False,False,40861,20073,786,,7821,11380,760,20000,3386,10300,9100,500
Tom Bagwell,L,2016,MI,12,False,False,889,569,149,,105,500,184,100,0,500,0,0
John Conyers Jr.,D,2016,MI,13,True,True,605324,599838,13478,,41054,142933,439746,0,-18410,112955,0,0
Brenda Lawrence,D,2016,MI,14,True,True,853134,681111,261155,,55292,298137,517751,0,-18046,231306,4430,300
Tim Walz,D,2016,MN,01,True,True,1547890,1585118,42071,,185362,588714,773720,0,95,428480,0,250
Jim Hagedorn,R,2016,MN,01,False,False,354204,356277,225,,51263,267785,15000,13206,6950,259144,7200,3490
Angie Craig,D,2016,MN,02,False,False,4025326,4012823,12503,,550130,1731005,808463,932600,3127,657552,200,100
Jason Lewis,R,2016,MN,02,False,True,1030485,1020649,9837,,283083,487614,272713,525,-13450,493394,11050,29730
Erik Paulsen,R,2016,MN,03,True,True,4939819,5761611,373169,,187623,2318234,2431379,0,2583,2358976,24600,238819
Terri Bonoff,D,2016,MN,03,False,False,1970869,1970297,572,,270220,1361211,327776,5303,6359,847062,3950,2000
Betty McCollum,D,2016,MN,04,True,True,915558,962049,124672,,63250,351709,501107,0,-508,222396,2750,1750
Greg Ryan,R,2016,MN,04,False,False,51293,48298,2996,,9511,16000,800,19982,5000,11000,0,0
Keith Ellison,D,2016,MN,05,True,True,2784931,2457969,489709,,1337663,1061319,347350,0,38599,766389,10250,2340
Tom Emmer,R,2016,MN,06,True,True,1837927,1718560,137565,,202485,732866,788730,0,113845,827338,750,64891
Collin Peterson,D,2016,MN,07,True,True,1201913,682928,569667,,45377,150864,1005648,0,24,115412,400,500
Dave Hughes,R,2016,MN,07,False,False,19836,19564,272,,9397,6248,4090,100,0,250,0,1775
Kevin Winge,3,2016,MN,07,False,False,13651,13650,0,,3301,10350,0,0,0,8800,0,750
Rick Nolan,D,2016,MN,08,True,True,3029107,2874695,181075,,931942,947054,1149757,0,354,601579,500,11062
Stewart Mills,R,2016,MN,08,False,False,3578385,3577291,1392,,338554,731440,318306,2147169,42917,793478,23950,77760
Trent Kelly,R,2016,MS,01,True,True,1053947,899969,146887,,57209,510621,485658,0,459,510270,4350,29350
Bennie G Thompson,D,2016,MS,02,True,True,1029092,1028690,1256942,,13919,144652,867667,0,2854,138650,0,500
Gregg Harper,R,2016,MS,03,True,True,1007225,1151289,669119,,18945,412200,551080,0,25000,391200,13400,4550
Steven Palazzo,R,2016,MS,04,True,True,778901,605558,231698,,11151,223950,538800,0,5000,220100,250,4200
Mark Gladney,D,2016,MS,04,False,False,61077,61077,0,,9495,24161,24100,421,2900,21102,0,240
Roy Blunt,R,2016,MO,S1,True,True,15893492,15909243,157283,,458993,9130150,5357147,0,1147208,11276544,81949,350292
Jason Kander,D,2016,MO,S1,False,False,13094604,13067683,26920,,2514833,8694518,776775,0,1108473,7696952,21050,65866
Patrick Lee,I,2016,MO,S1,False,False,5611,5763,22,,223,388,0,5000,0,388,0,0
William L Clay Jr.,D,2016,MO,01,True,True,656037,733976,238779,,8197,59080,586761,0,2000,53783,0,500
Ann Wagner,R,2016,MO,02,True,True,2313941,1514505,2168325,,8616,1063025,1250500,0,-8200,1288225,3700,550
Bill Otto,D,2016,MO,02,False,False,461337,461337,0,,107162,245654,110000,0,-1479,120813,2512,975
Blaine Luetkemeyer,R,2016,MO,03,True,True,1885992,993107,1858861,,23910,515371,1341652,0,5058,531428,1500,4000
Doanita Simmons,3,2016,MO,03,False,False,2663,1894,52,,75,0,0,0,75,0,0,0
Vicky Hartzler,R,2016,MO,04,True,True,928063,918746,362154,,27954,475520,423529,0,1059,461858,500,750
Gordon Christensen,D,2016,MO,04,False,False,217012,216037,975,,44342,132970,1500,0,38200,125805,0,4250
Emanuel Cleaver,D,2016,MO,05,True,True,1141295,769393,508615,,20000,229521,914574,0,-22800,227060,4400,7200
Jacob Turk,R,2016,MO,05,False,False,123750,123100,121,,8547,115203,0,0,0,51705,3700,0
Sam Graves,R,2016,MO,06,True,True,1521611,1460282,455812,,17730,267583,1200321,0,35977,280533,8250,500
Billy Long,R,2016,MO,07,True,True,1460939,1633191,389553,,13790,499199,934112,0,13839,461900,500,38160
Genevieve Williams,D,2016,MO,07,False,False,20564,20964,-400,,12202,8075,0,0,287,5750,0,0
Jason Smith,R,2016,MO,08,True,True,1693053,1309591,529654,,39514,511778,1109895,0,31866,543908,1000,6869
Ryan Zinke,R,2016,MT,01,True,True,5557720,5935723,30862,,1923175,2675469,781854,0,177221,2818980,39264,68771
Denise Juneau,D,2016,MT,01,False,False,2707290,2651886,55404,,862184,1518790,357637,0,-31321,771101,4035,1650
Jeff Fortenberry,R,2016,NE,01,True,True,802161,374532,1586976,,30433,430379,335500,0,5849,453779,9600,7000
Brad Ashford,D,2016,NE,02,True,False,2502645,2515416,2719,,184026,1045929,1269094,0,3595,545577,565,10950
Don Bacon,R,2016,NE,02,False,True,1604219,1576183,30736,,145803,881317,547450,12336,17314,859116,7950,600
Adrian Smith,R,2016,NE,03,True,True,1156745,764818,1176367,,28494,206125,921458,0,669,203525,600,500
Catherine Cortez Masto,D,2016,NV,S2,False,True,19566922,18604215,220554,,6307427,11176831,1151754,0,1830905,5713285,19233,25276
Joe Heck,R,2016,NV,S2,False,False,12190604,11742910,447693,,1386259,6574897,2008728,0,2220717,8481484,39345,787268
Jarrod M. Williams,3,2016,NV,S2,False,False,2267,2366,0,,144,767,0,1376,-10,0,500,0
Tom Jones,3,2016,NV,S2,False,False,2215,1200,1015,,215,0,0,2000,0,0,0,0
Dina Titus,D,2016,NV,01,True,True,945856,825555,248749,,23625,415657,511824,0,-5250,403207,0,6450
Mary Perry,R,2016,NV,01,False,False,29705,29199,506,,2750,4171,1400,21384,0,4170,0,0
Reuben D'Silva,I,2016,NV,01,False,False,26094,24781,656,,9141,11085,0,5868,0,10835,0,250
Mark Amodei,R,2016,NV,02,True,True,851508,901690,145197,,19725,444258,398534,0,-11009,465206,3300,5800
Chip Evans,D,2016,NV,02,False,False,211786,210665,2869,,57723,88091,65497,0,475,80190,150,4189
Danny Tarkanian,R,2016,NV,03,False,False,1926800,1919486,7315,,48055,1431381,412298,57227,-22160,1448056,18560,86325
Jacky Rosen,D,2016,NV,03,False,True,1692027,1676766,15261,,174163,984213,522379,15000,-3727,286998,2950,2020
Cresent Hardy,R,2016,NV,04,True,False,1837510,1876222,24152,,38380,833450,890945,0,74736,866497,2250,77100
Ruben Kihuen,D,2016,NV,04,False,True,2208922,2199083,16494,,212135,1380258,613767,515,2247,956826,3500,4250
Kelly Ayotte,R,2016,NH,S1,True,False,18428000,19621390,176170,,1602616,11561515,4378191,0,885672,12321285,96482,731776
Maggie Hassan,D,2016,NH,S1,False,True,18561299,18427848,133450,,5324739,10800818,956373,0,1479363,5439854,4950,63827
Frank Guinta,R,2016,NH,01,True,False,1514412,1519366,13821,,22700,621206,784126,0,86380,590105,1000,94050
Carol Shea-Porter,D,2016,NH,01,False,True,1512316,1529132,3816,,337312,686931,491847,0,-3773,277753,0,500
Shawn O'Connor,I,2016,NH,01,False,False,1502461,1495725,6737,,58527,197835,3500,1253450,-10850,182288,1650,7950
Ann Kuster,D,2016,NH,02,True,True,3159505,2121297,1068428,,320772,1661480,1189617,0,-12363,706961,1925,3050
Jim Lawrence,R,2016,NH,02,False,False,95443,104873,-9430,,7651,74292,1500,6000,6000,64291,10000,0
Don Norcross,D,2016,NJ,01,True,True,2045596,1972054,99463,,19566,1279558,879715,0,-133243,1076921,5400,0
Bob Patterson,R,2016,NJ,01,False,False,207287,203801,3486,,10481,181856,3000,15650,-3700,176255,1300,0
Frank LoBiondo,R,2016,NJ,02,True,True,1584413,1627038,350535,,25423,408116,1147307,0,3567,399014,0,3750
Dave Cole,D,2016,NJ,02,False,False,127678,127386,87,,33345,52538,500,41501,-206,12037,0,250
James Keenan,I,2016,NJ,02,False,False,202,202,0,,0,0,0,202,0,0,0,0
Thomas MacArthur,R,2016,NJ,03,True,True,1913434,1910489,7331,,39497,774538,882444,200000,16954,730219,1000,34100
Frederick Lavergne,D,2016,NJ,03,False,False,600,0,600,,350,250,0,0,0,250,0,0
Chris Smith,R,2016,NJ,04,True,True,725293,661899,272389,,144379,316231,266224,0,-1541,300915,1750,100
